20221014-132214:8,9.3
20221014-132215:8,7.4
20221014-132216:8,8.9
20221014-132217:8,11.0
20221014-132218:8,10.4
20221014-132219:8,7.6
20221014-132220:8,6.0
20221014-132221:8,13.1
20221014-132222:8,4.7
20221014-132223:8,6.2
20221014-132224:8,10.3
20221014-132225:8,6.2
20221014-132226:8,8.7
20221014-132227:8,9.4
20221014-132228:8,8.0
20221014-132229:8,8.2
20221014-132230:8,7.6
20221014-132231:8,5.2
20221014-132232:8,8.8
20221014-132233:8,6.1
20221014-132234:8,7.6
20221014-132235:8,8.2
20221014-132236:8,5.7
20221014-132237:8,9.3
20221014-132238:8,8.9
20221014-132239:8,6.1
20221014-132240:8,6.0
20221014-132241:8,6.9
20221014-132242:8,8.6
20221014-132243:8,7.8
20221014-132244:8,7.8
20221014-132245:8,7.8
20221014-132246:8,6.9
20221014-132247:8,6.3
20221014-132248:8,6.4
20221014-132249:8,8.9
20221014-132250:8,7.6
20221014-132251:8,5.2
20221014-132252:8,14.9
20221014-132253:8,7.6
20221014-132254:8,6.0
20221014-132255:8,10.5
20221014-132256:8,12.2
20221014-132257:8,20.7
20221014-132258:8,13.7
20221014-132259:8,24.8
20221014-132300:8,32.3
20221014-132301:8,22.3
20221014-132302:8,8.0
20221014-132303:8,9.3
20221014-132304:8,8.1
20221014-132305:8,11.5
20221014-132306:8,16.4
20221014-132307:8,11.0
20221014-132308:8,19.4
20221014-132309:8,24.2
20221014-132310:8,13.5
20221014-132311:8,8.4
20221014-132312:8,8.9
20221014-132313:8,13.1
20221014-132314:8,9.7
20221014-132315:8,6.2
20221014-132316:8,11.6
20221014-132317:8,17.5
20221014-132318:8,6.2
20221014-132319:8,7.8
20221014-132320:8,7.1
20221014-132321:8,8.1
20221014-132322:8,7.8
20221014-132323:8,6.6
20221014-132324:8,8.3
20221014-132325:8,8.0
20221014-132326:8,9.7
20221014-132327:8,12.7
20221014-132328:8,13.0
20221014-132329:8,10.8
20221014-132330:8,10.7
20221014-132331:8,10.1
20221014-132332:8,9.1
